Movie_Name,Description,Director,Rating,Runtime,Year of Release,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,History,Horror,Mystery,Romance,Sci-Fi,Thriller,War,Budget,Collection,Nominated
American Gangster,"In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East. (157 mins.)", Ridley Scott,7.8,157,2007,0,0,0,0,1,1,0,0,0,0,0,0,0,0,100000000,267985456,N
American Honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits. (163 mins.)", Andrea Arnold,7,163,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3500000,1800000,N
American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia. (138 mins.)", David O. Russell,7.3,138,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,40000000,257878294,Y
American Psycho,"A wealthy New York investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies. (102 mins.)", Mary Harron,7.6,102,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8000000,28674417,N
American Sniper,"Navy S.E.A.L. sniper Chris Kyles pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he cant leave behind. (133 mins.)", Clint Eastwood,7.3,133,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,58000000,547326372,Y
American Splendor,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar. (101 mins.)," Shari Springer Berman, Robert Pulcini",7.5,101,2003,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2000000,8685632,N
Amores Perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and lifes harsh realities, all in the name of love. (154 mins.)", Alejandro González Iñárritu,8.1,154,2000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2000000,20883834,N
Amour,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couples bond of love is severely tested. (127 mins.)", Michael Haneke,7.9,127,2012,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9700000,36787044,Y
An Education,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age. (100 mins.)", Lone Scherfig,7.3,100,2009,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7500000,29652736,Y
Anchorman: The Legend of Ron Burgundy,"Ron Burgundy is San Diegos top-rated newsman in the male-dominated broadcasting of the 1970s, but thats all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor. (94 mins.)", Adam McKay,7.2,94,2004,0,0,0,1,0,1,0,0,0,0,1,0,0,0,25000000,89476265,N
Animal Kingdom,A seventeen year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him. (113 mins.), David Michôd,7.3,113,2010,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4200000,8078683,N
Anomalisa,A man crippled by the mundanity of his life experiences something out of the ordinary. (90 mins.)," Duke Johnson, Charlie Kaufman",7.2,90,2015,0,0,0,0,1,1,1,0,0,0,0,0,0,0,8000000,5531455,N
Another Earth,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident. (92 mins.)", Mike Cahill,7,92,2011,0,0,1,0,0,1,0,0,0,0,0,0,0,1,175000,2102779,N
Another Year,A look at four seasons in the lives of a happily married couple and their relationships with their family and friends. (129 mins.), Mike Leigh,7.3,129,2010,0,0,0,0,0,1,0,0,1,1,0,0,1,0,8000000,20005613,N
Antichrist,"A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse. (108 mins.)", Lars von Trier,6.6,108,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11000000,2500000,N
Ant-Man,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world. (117 mins.)", Peyton Reed,7.3,117,2015,0,0,0,1,0,1,0,0,0,0,0,0,0,0,130000000,519338048,N
Apocalypto,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression. (139 mins.)", Mel Gibson,7.8,139,2006,0,0,0,0,0,1,0,1,0,0,1,0,0,0,40000000,121032272,N
April and the Extraordinary World,"1941. France asleep in the nineteenth century, governed by steam and Napoleon V, where scientists vanish mysteriously. Avril (Marion Cotillard), a teenage girl, goes in search of her missing scientist parents. (105 mins.)"," Christian Desmares, Franck Ekinci",7.4,105,2015,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9200000,495000,N
Arabian Nights: Volume 1 - The Restless One,Some of the chapters from Arabian Nights are adapted to a modern Portugal in this epic. (125 mins.), Miguel Gomes,7.1,125,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2700000,23160,N
Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980. (120 mins.)", Ben Affleck,7.7,120,2012,0,0,0,0,0,1,0,1,0,0,0,0,0,0,44500000,227140757,Y
Arrival,"When twelve mysterious spacecrafts appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors. (116 mins.)", Denis Villeneuve,8,116,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47000000,203178872,Y
As It Is in Heaven,A successful international conductor suddenly interrupts his career and returns alone to his childhood village in Norrland... (133 mins.), Kay Pollak,7.6,133,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,450000,13486,N
Astérix: Le domaine des dieux,"In order to wipe out the Gaulish village by any means necessary, Caesar plans to absorb the villagers into Roman culture by having an estate built next to the village to start a new Roman colony. (85 mins.)"," Louis Clichy, Alexandre Astier",7,85,2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,31000000,34800000,N
Atonement,"Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sisters lover of a crime he did not commit. (123 mins.)", Joe Wright,7.8,123,2007,0,0,0,1,0,1,0,1,0,0,1,0,0,0,30000000,129779728,Y
Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. (162 mins.), James Cameron,7.8,162,2009,0,0,1,1,0,0,0,0,0,0,1,1,0,0,425000000,2783918982,Y
Babel,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families. (143 mins.)", Alejandro González Iñárritu,7.5,143,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,132121212,Y
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail. (112 mins.)", Edgar Wright,7.8,112,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34000000,227394086,N
Bad Education,An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends. (106 mins.), Pedro Almodóvar,7.5,106,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5000000,40300000,N
Bad Lieutenant: Port of Call New Orleans,Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants. (122 mins.), Werner Herzog,6.7,122,2009,0,0,0,0,1,1,0,0,0,0,0,0,0,0,25000000,12413949,N
Bamako,"Bamako. Melé is a bar singer, her husband Chaka is out of work and the couple is on the verge of breaking up... (115 mins.)", Abderrahmane Sissako,6.8,115,2006,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2000000,1600000,N
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it. (152 mins.)", Christopher Nolan,8.3,152,2005,0,0,0,0,1,0,1,0,0,0,0,0,0,0,150000000,359142722,N
Battle Royale,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary Battle Royale act. (114 mins.)", Kinji Fukasaku,7.7,114,2000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4500000,25000000,N
Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country. (137 mins.)", Cary Joji Fukunaga,7.8,137,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6000000,90777,N
Beasts of the Southern Wild,"Faced with both her hot-tempered fathers fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love. (93 mins.)", Benh Zeitlin,7.3,93,2012,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1800000,23265132,Y
Bedevilled,"A woman subject to mental, physical, and sexual abuse on a remote island seeks a way out. (115 mins.)", Chul-soo Jang,7.3,115,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,636000,1124000,N
Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna. (109 mins.), Richard Linklater,7.9,109,2013,0,0,0,0,1,1,0,0,0,0,1,0,1,0,3000000,23251930,N
Before Night Falls,"The life of Cuban poet and novelist, Reinaldo Arenas. (133 mins.)", Julian Schnabel,7.3,133,2000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20000000,8500000,N
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesses book tour. (80 mins.)", Richard Linklater,8,80,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000000,11217346,N
Before the Devil Knows Youre Dead,"When two brothers organize the robbery of their parents jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brothers wife hurtling towards a shattering climax. (117 mins.)", Sidney Lumet,7.3,117,2007,0,0,0,0,0,1,0,0,0,1,0,0,1,0,18000000,25000000,N
Ben X,"As an alternative to getting bullied at school, an autistic teenager retreats into the world of online role-playing games. (93 mins.)", Nic Balthazar,7.4,93,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000000,2740000,N
Bernie,"In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp. (99 mins.)", Richard Linklater,6.8,99,2011,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6000000,10106975,N
Best in Show,A colorful array of characters compete at a national dog show. (90 mins.), Christopher Guest,7.5,90,2000,0,0,0,0,1,1,0,0,0,0,1,0,1,0,6000000,20695413,N
Big Fish,A frustrated son tries to determine the fact from fiction in his dying fathers life. (125 mins.), Tim Burton,8,125,2003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,70000000,123954323,N
Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes. (102 mins.)"," Don Hall, Chris Williams",7.8,102,2014,1,1,0,0,0,0,0,0,0,0,0,1,0,0,165000000,652127828,N
Billy Elliot,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family. (110 mins.), Stephen Daldry,7.7,110,2000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5000000,109272908,N
Birdman or (The Unexpected Virtue of Ignorance),"A washed-up actor, who once played an iconic superhero, attempts to revive his career by writing and starring in a Broadway play. (119 mins.)", Alejandro G. Iñárritu,7.8,119,2014,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18000000,103215094,Y
Biutiful,"This is the story of Uxbal, a man living in this world, but able to see his death, which guides his every move. (148 mins.)", Alejandro González Iñárritu,7.5,148,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35000000,24687524,N
Black Book,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance. (145 mins.)", Paul Verhoeven,7.8,145,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21000000,26700000,N
Black Dynamite,Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man its up to him to find justice. (84 mins.), Scott Sanders,7.4,84,2009,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2900000,296557,N
Black Friday,"Black Friday is a film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen. (143 mins.)", Anurag Kashyap,8.6,143,2004,0,0,0,0,0,1,1,1,0,1,0,0,0,0,700000,1100000,N
Black Swan,A committed dancer wins the lead role in a production of Tchaikovskys Swan Lake only to find herself struggling to maintain her sanity. (108 mins.), Darren Aronofsky,8,108,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13000000,331266710,Y
Blade Runner 2049,"A young blade runners discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, whos been missing for thirty years. (164 mins.)", Denis Villeneuve,8.4,164,2017,0,0,0,0,0,1,0,0,0,0,1,0,0,0,185000000,242452355,N
Blue Is the Warmest Color,"Adèles life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss. (180 mins.)", Abdellatif Kechiche,7.8,180,2013,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4000000,19500000,N
Blue Jasmine,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isnt bringing money, peace, or love... (98 mins.)", Woody Allen,7.3,98,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18000000,102912961,N
Blue Ruin,"A mysterious outsiders quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family. (90 mins.)", Jeremy Saulnier,7.1,90,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,420000,435168,N
Blue Valentine,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods. (112 mins.)", Derek Cianfrance,7.4,112,2010,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1000000,16566240,N
Bone Tomahawk,Four men set out in the Wild West to rescue a group of captives from cannibalistic cave dwellers. (132 mins.), S. Craig Zahler,7.1,132,2015,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2000000,481525,N
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson. (84 mins.)", Larry Charles,7.3,84,2006,1,0,0,0,0,1,0,0,0,0,0,0,1,1,18000000,261600000,N
Boy and the World,A little boy goes on an adventurous quest in search of his father. (80 mins.), Alê Abreu,7.6,80,2013,0,1,1,0,0,0,0,0,0,0,0,0,0,0,500000,279000,N
Boyhood,"The life of Mason, from early childhood to his arrival at college. (165 mins.)", Richard Linklater,7.9,165,2014,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4000000,57273049,Y
BPM (Beats Per Minute),120 BPM. The average heart rate. The protagonists of 120 battements par minute are passionate about fighting the indifference that exists towards AIDS. (140 mins.), Robin Campillo,7.7,140,2017,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6500000,6400000,N
Breach,"FBI upstart Eric ONeill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union. (110 mins.)", Billy Ray,7,110,2007,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23000000,41000000,N
Brick,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend. (110 mins.), Rian Johnson,7.4,110,2005,0,0,0,0,0,1,0,1,0,0,0,0,0,0,450000,4243996,N
Bridge of Spies,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers. (142 mins.)", Steven Spielberg,7.6,142,2015,0,0,0,1,0,0,0,0,1,0,0,0,0,0,40000000,162610473,Y
Bridge to Terabithia,A preteens life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality. (96 mins.), Gabor Csupo,7.2,96,2007,0,1,1,1,0,0,1,0,0,0,0,0,0,0,25000000,137984788,N
Brokeback Mountain,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years. (134 mins.)", Ang Lee,7.7,134,2005,1,1,0,0,1,0,0,0,0,1,0,0,1,0,13900000,177012173,Y
Broken Embraces,"Harry Caine, a blind writer, reaches this moment in time when he has to heal his wounds from 14 years back. He was then still known by his real name, Mateo Blanco, and directing his last movie. (127 mins.)", Pedro Almodóvar,7.2,127,2009,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18000000,31000000,N
Broken Flowers,"As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers. (106 mins.)", Jim Jarmusch,7.2,106,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10000000,46000000,N
Bronson,"A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson. (92 mins.)", Nicolas Winding Refn,7.1,92,2008,0,0,0,0,0,1,0,0,0,0,0,0,1,0,230000,2703762,N
Brooklyn,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within. (117 mins.)", John Crowley,7.5,117,2015,0,1,1,1,0,0,1,0,0,0,0,0,0,0,11000000,62076141,Y
Brother,"A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence. (114 mins.)", Takeshi Kitano,7.2,114,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12000000,450594,N
Brothers,Two brothers must negotiate changing roles and shifting family dynamics when one is sent to war in Afghanistan. (117 mins.), Susanne Bier,7.6,117,2004,0,0,0,0,0,0,0,0,0,1,0,0,1,0,26000000,45043870,N
Bug,An unhinged war veteran holes up with a lonely woman in a spooky Oklahoma motel room. The line between reality and delusion is blurred as they discover a bug infestation. (102 mins.), William Friedkin,6.1,102,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4000000,8302995,N
Burn After Reading,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it. (96 mins.)," Ethan Coen, Joel Coen",7,96,2008,0,0,0,1,0,1,0,0,0,0,0,0,0,0,37000000,168167798,N
Caché,A married couple is terrorized by a series of surveillance videotapes left on their front porch. (117 mins.), Michael Haneke,7.3,117,2005,1,0,0,0,1,1,0,0,0,0,0,0,0,0,10500000,16200000,N
Capote,"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row. (114 mins.)", Bennett Miller,7.4,114,2005,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7000000,49924079,Y
Captain America: Civil War,Political interference in the Avengers activities causes a rift between former allies Captain America and Iron Man. (147 mins.)," Anthony Russo, Joe Russo",7.9,147,2016,0,0,0,0,0,0,0,0,1,1,0,0,1,0,250000000,1153304495,N
Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier. (136 mins.)"," Anthony Russo, Joe Russo",7.8,136,2014,0,0,0,0,1,1,0,0,0,0,0,0,0,0,170000000,714401889,N
